track_id,track_name,artist_name,album_name,release_date,popularity,track_url,artist_id,genres
01W6syCgxisKd0gDqFRdEG,LA VUELTA,Feid,FERXXOCALIPSIS,2023-12-01,60,https://open.spotify.com/track/01W6syCgxisKd0gDqFRdEG,2LRoIwlKmHjgvigdNGBHNo,"['reggaeton', 'urbano latino']"
04QTmCTsaVjcGaoxj8rSjE,Know Your Worth (feat. Davido & Tems),Khalid,Know Your Worth (feat. Davido & Tems),2020-04-23,57,https://open.spotify.com/track/04QTmCTsaVjcGaoxj8rSjE,6LuN9FCkKOj5PcnpouEgny,[]
0I3q5fE6wg7LIfHGngUTnV,Ms. Jackson,Outkast,Stankonia,2000-10-31,79,https://open.spotify.com/track/0I3q5fE6wg7LIfHGngUTnV,1G9G7WwrXka3Z1r7aIDjI7,"['southern hip hop', 'hip hop']"
0Iozrbed8spxoBnmtBMshO,WANDA,Quevedo,DONDE QUIERO ESTAR,2023-01-20,67,https://open.spotify.com/track/0Iozrbed8spxoBnmtBMshO,52iwsT98xCoGgiGntTiR7K,['reggaeton']
0PpyKy4AiSH3BSKKsqpSk4,Somewhere Along The Way,Koen Groeneveld,Somewhere Along The Way,2019-02-15,25,https://open.spotify.com/track/0PpyKy4AiSH3BSKKsqpSk4,1z62XaHX2iYbxLARSBLoua,"['minimal techno', 'techno', 'tech house', 'house']"
0Qe2g06yzLBuuSvVmFiweP,Hasta Aquí Llegué,Nanpa Básico,Duelo,2024-11-07,74,https://open.spotify.com/track/0Qe2g06yzLBuuSvVmFiweP,1cUpGtXcSQsovNYEZOQgOG,"['mexican hip hop', 'latin hip hop']"
0a6ogDrZBvYgDjILgsQVaJ,Hace Mucho Tiempo,Arcángel,"Sentimiento, Elegancia Y Maldad",2013-11-19,70,https://open.spotify.com/track/0a6ogDrZBvYgDjILgsQVaJ,4SsVbpTthjScTS7U2hmr1X,"['reggaeton', 'trap latino', 'urbano latino']"
0c5S531C4rlbfYhYdTUiUv,Gotitas al viento (feat. Feid),Paula Cendejas,Gotitas al viento (feat. Feid),2020-04-10,40,https://open.spotify.com/track/0c5S531C4rlbfYhYdTUiUv,4EiI7Vls0NB16jLuexzCHC,['latin r&b']
0dKg2vGC1hFqcK5LGTaKzX,Tusa,KAROL G,KG0516,2021-03-26,69,https://open.spotify.com/track/0dKg2vGC1hFqcK5LGTaKzX,790FomKkXshlbRYZFtlgla,"['reggaeton', 'latin', 'urbano latino']"
0eI8yxgCGbguwbK26n22RQ,RELXJXTE,Feid,FERXXO (VOL 1: M.O.R),2020-04-23,57,https://open.spotify.com/track/0eI8yxgCGbguwbK26n22RQ,2LRoIwlKmHjgvigdNGBHNo,"['reggaeton', 'urbano latino']"
0i5M7tQqE8VoGP9kUrjn0m,Apollo,Super8 & Tab,Apollo,2022-02-25,32,https://open.spotify.com/track/0i5M7tQqE8VoGP9kUrjn0m,3WGxBKuYawiVOmCwR8FIUC,"['trance', 'progressive trance']"
0iaElK9qQHvIQcWFE57WRs,La Cinta Verde,Los Teen Agers,Nuevos Ritmos,1961-08-04,25,https://open.spotify.com/track/0iaElK9qQHvIQcWFE57WRs,2dlJdFaPxHy9C3bOKS1ZKl,['música tropical']
0j4yCgCJGgVZFayuTDfmO4,En Silencio Te Amaré,El Combo De Las Estrellas,30 Mejores: El Combo de las Estrellas,2003-05-06,48,https://open.spotify.com/track/0j4yCgCJGgVZFayuTDfmO4,3a1bkJS7AQnJ8KGvf9hFiN,"['música tropical', 'vallenato', 'cumbia']"
0lc2neV7ZzjZExwCIVG2B3,LAS MORRAS,Peso Pluma,GÉNESIS,2023-06-29,66,https://open.spotify.com/track/0lc2neV7ZzjZExwCIVG2B3,12GqGscKJx3aE4t07u7eVZ,"['corrido', 'corridos tumbados', 'corridos bélicos', 'música mexicana', 'sad sierreño', 'electro corridos', 'banda']"
0t0WIrjRcvgBAwLlby2gsZ,Down,R.K.M & Ken-Y,Masterpiece: Nuestra Obra Maestra,2016-11-04,69,https://open.spotify.com/track/0t0WIrjRcvgBAwLlby2gsZ,3jFjgKOGfVLWfXX8q5wrsg,['reggaeton']
